shard,node
96,4
7,4
193,4
34,4
131,4
133,4
60,4
190,4
1,4
70,4
74,4
47,4
173,4
42,4
177,4
86,4
161,4
152,4
157,4
16,4
149,4
68,4
98,4
55,4
101,4
196,4
194,4
21,4
15,4
116,1
159,1
145,1
166,1
91,1
136,1
67,1
33,1
200,1
156,1
41,1
76,1
103,1
182,1
3,1
64,1
80,1
183,1
25,1
130,1
84,1
155,1
53,1
150,1
71,1
52,1
50,1
61,1
38,1
197,7
93,7
104,7
198,7
106,7
135,7
132,7
54,7
129,7
181,7
109,7
143,7
37,7
13,7
114,7
65,7
39,7
88,7
107,7
141,7
99,7
185,7
35,7
160,7
17,7
168,7
9,7
151,7
126,7
56,3
170,3
44,3
138,3
172,3
78,3
79,3
49,3
14,3
26,3
134,3
69,3
163,3
95,3
100,3
63,3
10,3
178,3
5,3
102,3
30,3
82,3
120,3
175,3
127,3
179,3
148,3
140,5
110,5
162,5
105,5
19,5
72,5
191,5
4,5
176,5
164,5
121,5
174,5
158,5
125,5
146,5
6,5
137,5
139,5
124,5
11,5
83,5
87,5
171,5
153,5
108,5
73,5
66,5
23,5
123,5
113,6
90,6
147,6
92,6
184,6
24,6
89,6
112,6
118,6
142,6
29,6
94,6
36,6
48,6
122,6
18,6
59,6
85,6
45,6
144,6
165,6
154,6
8,6
57,6
192,6
117,6
81,6
20,6
189,6
27,2
77,2
169,2
12,2
51,2
28,2
128,2
32,2
188,2
22,2
2,2
180,2
167,2
97,2
43,2
119,2
58,2
186,2
31,2
111,2
46,2
195,2
115,2
62,2
40,2
187,2
199,2
75,2
