shard,node
1,3
2,3
3,2
4,1
5,2
6,2
7,2
8,3
9,3
10,2
11,3
12,1
13,2
14,1
15,3
16,1
17,3
18,3
19,2
20,1
21,2
22,3
23,3
24,2
25,3
26,2
27,3
28,2
29,2
30,2
31,3
32,3
33,1
34,1
35,1
36,1
37,3
38,2
39,2
40,2
41,3
42,1
43,3
44,3
45,3
46,2
47,1
48,1
49,1
50,2
51,2
52,3
53,1
54,2
55,2
56,1
57,2
58,3
59,2
60,1
61,3
62,2
63,3
64,1
65,3
66,2
67,2
68,3
69,1
70,1
71,1
72,1
73,3
74,1
75,1
76,1
77,3
78,1
79,1
80,2
81,3
82,1
83,1
84,3
85,2
86,3
87,2
88,1
89,2
90,2
91,1
92,3
93,2
94,3
95,1
96,2
97,1
98,3
99,1
100,3
