,timestamp,shard,load
0,0.0,82,4.329
1,0.01,81,1.735
2,0.025,42,2.362
3,0.025,6,9.069
4,0.03,95,5.026
5,0.03,74,5.852
6,0.06,23,2.475
7,0.06,66,1.918
8,0.095,75,10.004
9,0.115,15,3.294
10,0.15,14,2.462
11,0.16,60,11.656
12,0.185,72,4.067
13,0.185,25,0.893
14,0.2,39,5.501
15,0.205,82,0.605
16,0.21,49,2.044
17,0.26,78,3.278
18,0.27,10,5.305
19,0.28,95,6.327
20,0.29,52,6.514
21,0.3,81,1.383
22,0.34,34,3.342
23,0.345,29,1.099
24,0.375,27,4.305
25,0.375,57,2.208
26,0.4,83,2.263
27,0.4,80,5.002
28,0.445,73,2.196
29,0.48,5,2.474
30,0.495,43,6.301
31,0.54,79,3.788
32,0.58,26,1.316
33,0.63,32,1.691
34,0.63,98,0.678
35,0.635,77,8.213
36,0.695,8,1.936
37,0.71,61,1.589
38,0.8,12,3.049
39,0.83,35,2.476
40,0.93,52,1.262
41,0.995,74,5.519
42,1.2,32,3.798
43,1.235,47,3.529
44,1.34,67,3.579
45,1.385,19,8.866
46,1.47,81,5.173
47,1.47,38,0.67
48,1.575,87,2.272
49,1.825,9,5.402
50,5.0,68,4.242
51,5.0,75,1.796
52,5.005,73,5.784
53,5.01,40,0.395
54,5.015,9,3.46
55,5.035,10,1.503
56,5.035,68,7.729
57,5.05,72,6.446
58,5.06,4,8.344
59,5.065,18,3.008
60,5.07,36,0.86
61,5.085,84,4.151
62,5.11,99,6.434
63,5.13,95,5.751
64,5.135,58,4.395
65,5.16,93,3.538
66,5.17,69,2.264
67,5.17,20,3.402
68,5.17,83,3.629
69,5.185,28,3.293
70,5.205,23,3.404
71,5.215,79,1.881
72,5.235,41,2.783
73,5.25,41,1.876
74,5.27,83,5.763
75,5.28,37,6.278
76,5.295,46,5.497
77,5.3,14,1.132
78,5.365,69,0.999
79,5.39,94,8.466
80,5.4,44,6.677
81,5.42,60,5.032
82,5.45,96,3.562
83,5.57,81,3.077
84,5.58,88,5.086
85,5.585,28,1.552
86,5.645,31,4.142
87,5.65,49,3.731
88,5.665,84,2.423
89,5.675,37,5.577
90,5.68,72,3.083
91,5.7,35,2.825
92,5.71,42,4.566
93,5.83,54,0.766
94,5.945,53,1.739
95,6.01,64,3.91
96,6.02,9,1.762
97,6.11,11,0.634
98,6.275,11,14.883
99,6.36,2,7.239
100,6.43,7,3.207
101,6.75,32,4.054
102,7.405,88,2.066
103,10.005,87,7.394
104,10.01,95,1.412
105,10.01,6,7.439
106,10.035,42,1.919
107,10.04,30,4.072
108,10.04,37,1.99
109,10.05,43,6.298
110,10.055,94,0.779
111,10.055,96,3.162
112,10.065,83,9.063
113,10.07,65,11.261
114,10.075,76,4.413
115,10.075,45,1.779
116,10.09,66,7.245
117,10.095,48,1.791
118,10.1,65,0.601
119,10.105,64,1.065
120,10.115,6,6.503
121,10.135,18,5.013
122,10.135,14,5.307
123,10.145,16,4.795
124,10.145,51,0.983
125,10.185,100,1.37
126,10.21,65,3.008
127,10.22,67,1.284
128,10.225,83,1.52
129,10.23,87,3.828
130,10.25,17,1.051
131,10.255,99,3.943
132,10.265,50,0.989
133,10.27,12,4.735
134,10.28,49,1.867
135,10.295,94,4.112
136,10.305,100,4.771
137,10.315,95,17.085
138,10.32,94,6.302
139,10.335,82,2.586
140,10.335,25,1.982
141,10.345,64,1.357
142,10.39,78,7.078
143,10.405,49,1.654
144,10.41,78,7.728
145,10.42,20,5.285
146,10.425,92,3.637
147,10.45,62,4.123
148,10.475,61,5.132
149,10.505,62,2.603
150,10.525,1,1.28
151,10.54,87,2.103
152,10.58,68,10.797
153,10.655,92,3.509
154,10.655,32,0.685
155,10.87,7,4.311
156,10.935,8,1.023
157,10.94,76,2.11
158,11.18,8,3.601
159,11.26,90,5.24
160,11.265,44,3.276
161,11.39,88,5.291
162,11.46,85,3.919
163,11.51,35,1.881
164,11.605,46,4.671
165,12.055,93,2.77
166,15.0,68,8.512
167,15.005,31,2.561
168,15.01,38,1.036
169,15.025,69,1.122
170,15.05,64,1.972
171,15.05,30,1.273
172,15.055,71,8.64
173,15.075,24,0.776
174,15.085,11,3.108
175,15.09,93,5.467
176,15.1,96,1.015
177,15.115,85,3.509
178,15.12,70,4.564
179,15.12,35,1.913
180,15.125,5,5.742
181,15.16,67,1.643
182,15.175,24,2.611
183,15.195,57,3.215
184,15.205,69,1.274
185,15.205,35,2.799
186,15.235,34,3.664
187,15.235,18,0.691
188,15.235,65,2.262
189,15.27,34,4.708
190,15.32,76,3.286
191,15.36,24,8.756
192,15.365,21,2.213
193,15.375,96,2.54
194,15.39,95,17.334
195,15.395,32,1.158
196,15.42,83,2.034
197,15.43,62,6.321
198,15.475,63,1.269
199,15.485,47,1.691
200,15.5,86,4.537
201,15.66,65,2.216
202,15.68,26,6.393
203,15.705,52,1.741
204,15.785,71,3.221
205,15.805,85,5.604
206,15.815,35,0.904
207,15.875,95,2.463
208,15.975,21,3.151
209,16.125,59,2.726
210,16.165,90,1.823
211,16.205,29,1.226
212,16.695,83,1.193
213,18.26,32,2.965
214,20.005,85,5.988
215,20.025,26,7.332
216,20.03,97,7.772
217,20.03,49,3.293
218,20.04,60,2.402
219,20.04,23,5.708
220,20.05,5,6.902
221,20.05,62,1.75
222,20.06,61,5.135
223,20.07,9,2.165
224,20.075,3,2.165
225,20.08,42,4.949
226,20.08,64,5.596
227,20.09,78,7.377
228,20.105,56,2.268
229,20.14,5,3.37
230,20.15,84,2.656
231,20.16,64,0.812
232,20.17,95,5.201
233,20.175,40,1.067
234,20.185,68,8.652
235,20.185,87,1.716
236,20.195,93,1.332
237,20.235,26,9.649
238,20.24,41,1.128
239,20.25,26,5.407
240,20.25,64,1.894
241,20.265,45,3.359
242,20.265,17,1.513
243,20.31,76,5.935
244,20.315,78,3.619
245,20.32,6,2.254
246,20.32,11,2.533
247,20.33,39,1.694
248,20.36,35,5.566
249,20.36,89,1.819
250,20.38,19,2.584
251,20.39,79,1.403
252,20.405,66,6.583
253,20.415,92,2.801
254,20.43,75,5.319
255,20.485,29,2.888
256,20.515,40,4.707
257,20.52,45,2.108
258,20.525,52,1.439
259,20.535,57,3.412
260,20.545,96,2.346
261,20.56,61,0.887
262,20.605,54,6.058
263,20.655,70,5.594
264,20.66,88,4.611
265,20.675,21,7.203
266,20.73,5,1.724
267,20.88,50,2.736
268,20.94,88,5.914
269,20.96,13,3.018
270,21.005,100,7.375
271,21.12,60,5.326
272,21.18,98,5.503
273,21.19,37,1.593
274,21.255,11,5.385
275,21.29,28,2.396
276,21.29,68,7.546
277,21.57,34,9.972
278,21.88,57,7.771
279,25.055,92,2.883
280,25.065,12,2.804
281,25.085,66,3.062
282,25.105,17,4.042
283,25.11,35,3.997
284,25.175,50,4.148
285,25.18,9,4.799
286,25.195,20,2.016
287,25.195,97,1.346
288,25.215,54,3.162
289,25.215,26,0.183
290,25.225,96,5.661
291,25.235,14,1.114
292,25.235,76,0.798
293,25.24,83,1.723
294,25.25,14,0.781
295,25.285,74,1.036
296,25.295,6,6.356
297,25.305,57,4.585
298,25.325,43,6.792
299,25.345,83,1.441
300,25.4,51,2.679
301,25.41,15,4.534
302,25.45,94,2.56
303,25.46,27,0.699
304,25.48,36,6.435
305,25.485,52,3.488
306,25.49,16,10.632
307,25.51,9,3.292
308,25.59,15,4.526
309,25.6,32,2.918
310,25.685,35,3.171
311,25.78,66,4.831
312,25.795,21,1.186
313,25.91,71,3.143
314,25.925,13,2.831
315,25.965,68,13.914
316,25.995,55,6.788
317,26.335,90,2.849
318,26.365,16,9.76
319,26.41,97,4.661
320,26.445,49,2.551
321,26.49,22,3.989
322,26.72,54,3.349
323,26.825,46,7.671
324,30.005,68,1.466
325,30.025,35,6.369
326,30.03,17,1.782
327,30.045,57,2.588
328,30.055,54,1.384
329,30.075,3,1.375
330,30.08,66,1.436
331,30.1,33,11.169
332,30.105,68,2.894
333,30.13,48,5.839
334,30.14,3,1.978
335,30.155,3,4.567
336,30.17,66,2.757
337,30.18,34,4.668
338,30.185,24,1.564
339,30.185,12,1.927
340,30.195,39,4.177
341,30.205,61,0.893
342,30.21,13,0.266
343,30.21,87,5.223
344,30.235,66,2.107
345,30.245,44,3.809
346,30.275,77,1.659
347,30.28,11,2.228
348,30.285,15,11.388
349,30.3,92,2.942
350,30.305,6,5.451
351,30.345,57,8.561
352,30.35,69,4.62
353,30.4,51,4.576
354,30.43,79,0.621
355,30.485,20,7.322
356,30.5,77,1.617
357,30.51,14,1.912
358,30.56,95,2.917
359,30.605,40,1.163
360,30.67,42,3.296
361,30.745,19,4.269
362,30.77,87,4.709
363,30.895,53,13.968
364,30.975,83,6.261
365,31.135,1,0.726
366,31.255,49,6.184
367,31.51,19,2.448
368,33.685,49,2.751
369,35.005,2,7.841
370,35.01,38,1.107
371,35.02,41,4.61
372,35.035,34,7.666
373,35.05,98,1.797
374,35.055,79,4.945
375,35.065,68,2.519
376,35.135,32,0.546
377,35.185,67,6.03
378,35.21,21,4.971
379,35.215,50,0.939
380,35.23,62,4.92
381,35.245,25,2.5
382,35.31,63,2.951
383,35.33,9,2.918
384,35.34,33,1.067
385,35.355,33,0.393
386,35.39,37,7.517
387,35.46,22,3.222
388,35.5,39,3.602
389,35.505,29,3.971
390,35.535,28,5.614
391,35.6,7,1.644
392,35.64,46,3.769
393,35.69,27,12.224
394,35.695,39,0.635
395,35.765,88,1.913
396,35.785,1,0.782
397,35.905,32,8.797
398,35.92,11,2.824
399,35.965,87,8.388
400,36.025,11,3.429
401,36.12,96,3.324
402,36.195,10,4.343
403,36.205,61,8.825
404,36.275,10,7.036
405,36.275,33,3.473
406,36.68,28,3.667
407,36.75,98,3.174
408,36.81,74,1.686
409,40.03,5,8.509
410,40.05,56,2.264
411,40.07,65,5.197
412,40.09,80,2.804
413,40.135,60,6.048
414,40.155,46,1.734
415,40.17,9,2.786
416,40.255,55,3.988
417,40.27,35,0.28
418,40.275,29,0.688
419,40.295,24,7.009
420,40.35,37,3.969
421,40.375,54,2.054
422,40.385,44,12.268
423,40.435,87,17.561
424,40.435,10,4.576
425,40.44,19,10.078
426,40.47,89,3.996
427,40.505,68,4.272
428,40.535,93,6.55
429,40.575,88,3.655
430,40.62,49,3.091
431,40.635,77,2.697
432,40.675,56,3.645
433,40.715,12,3.219
434,40.775,24,3.572
435,40.9,51,6.861
436,41.065,91,9.629
437,41.07,96,4.311
438,41.205,75,4.048
439,41.215,47,8.42
440,41.29,94,1.77
441,41.4,36,2.149
442,41.475,91,4.501
443,41.625,90,3.526
444,42.39,100,6.609
445,45.01,14,1.88
446,45.01,22,3.587
447,45.015,75,2.325
448,45.02,20,8.249
449,45.035,99,1.786
450,45.04,88,1.326
451,45.05,87,3.67
452,45.06,1,5.113
453,45.065,71,7.976
454,45.075,86,1.794
455,45.09,87,5.121
456,45.135,20,2.822
457,45.145,13,5.394
458,45.15,89,0.865
459,45.155,66,6.124
460,45.18,83,3.269
461,45.205,35,6.922
462,45.22,49,3.234
463,45.245,75,9.69
464,45.26,86,4.341
465,45.265,16,1.855
466,45.28,79,5.672
467,45.285,91,3.975
468,45.305,85,8.459
469,45.31,61,1.337
470,45.31,58,7.017
471,45.32,20,10.218
472,45.32,82,5.676
473,45.335,58,3.756
474,45.335,48,1.37
475,45.345,90,1.889
476,45.39,96,1.271
477,45.43,49,4.892
478,45.455,21,0.691
479,45.495,5,2.028
480,45.495,16,5.245
481,45.535,62,4.17
482,45.565,38,5.455
483,45.59,81,3.693
484,45.6,55,4.334
485,45.615,18,1.764
486,45.695,83,2.087
487,45.79,89,3.278
488,45.975,22,1.858
489,46.015,56,0.836
490,46.085,98,1.899
491,46.12,80,2.636
492,46.125,14,3.361
493,46.33,45,0.188
494,46.51,96,3.95
495,46.625,36,0.376
496,46.9,16,4.458
497,46.94,38,3.939
498,50.01,51,4.471
499,50.025,18,3.222
500,50.025,33,3.673
501,50.045,87,0.202
502,50.065,80,1.26
503,50.08,50,2.217
504,50.095,82,1.098
505,50.1,82,7.305
506,50.1,79,2.158
507,50.125,96,1.942
508,50.14,4,5.766
509,50.14,34,3.484
510,50.17,65,4.134
511,50.18,5,4.012
512,50.185,94,4.9
513,50.2,33,4.348
514,50.22,32,5.089
515,50.23,42,5.197
516,50.235,97,3.137
517,50.245,25,1.146
518,50.255,33,8.736
519,50.26,45,2.221
520,50.27,20,12.494
521,50.285,77,5.839
522,50.29,18,1.046
523,50.295,87,7.254
524,50.335,7,6.869
525,50.38,36,4.958
526,50.39,2,2.433
527,50.395,30,7.761
528,50.405,100,2.526
529,50.49,11,9.828
530,50.495,56,3.292
531,50.515,5,1.852
532,50.625,34,2.869
533,50.655,60,1.542
534,50.68,1,2.183
535,50.68,29,2.257
536,50.835,83,0.92
537,50.88,77,1.215
538,50.885,40,2.406
539,50.945,48,12.525
540,51.04,5,2.653
541,51.15,73,2.747
542,51.155,55,2.138
543,51.5,7,2.57
544,53.425,84,6.54
545,55.0,52,5.99
546,55.01,50,4.875
547,55.015,34,1.07
548,55.03,57,6.101
549,55.055,15,2.717
550,55.065,51,3.032
551,55.065,94,1.799
552,55.07,30,2.315
553,55.09,88,9.078
554,55.09,31,1.659
555,55.095,90,3.805
556,55.1,50,7.409
557,55.105,11,0.5
558,55.11,10,4.467
559,55.12,39,5.529
560,55.155,69,1.001
561,55.205,63,5.579
562,55.22,9,8.032
563,55.24,94,21.688
564,55.245,62,3.757
565,55.255,36,9.804
566,55.26,85,3.846
567,55.3,2,5.825
568,55.325,89,1.182
569,55.35,23,5.615
570,55.39,50,0.648
571,55.405,50,1.695
572,55.425,38,0.946
573,55.43,4,6.121
574,55.465,75,4.355
575,55.465,57,1.755
576,55.545,82,1.566
577,55.55,31,4.648
578,55.595,1,6.766
579,55.645,67,2.389
580,55.645,32,4.679
581,55.655,92,4.37
582,55.705,59,4.297
583,55.71,10,8.205
584,55.88,63,2.501
585,55.92,31,0.349
586,55.93,84,5.653
587,55.94,68,5.649
588,55.995,25,6.122
589,56.115,32,6.71
590,56.37,83,5.722
591,56.62,51,2.04
592,58.13,58,10.089
593,60.005,89,2.465
594,60.05,55,6.388
595,60.065,29,6.128
596,60.075,51,4.624
597,60.08,66,1.567
598,60.09,32,7.622
599,60.09,3,6.526
600,60.09,88,9.028
601,60.22,3,5.856
602,60.22,1,4.814
603,60.27,88,0.65
604,60.29,61,1.922
605,60.3,70,3.658
606,60.35,22,6.855
607,60.39,34,0.854
608,60.405,39,2.175
