id,timestamp,shard,load,expected_end_time,actual_end_time,delay
0,0.0,82,4.329,4.329,4.329,0.0
1,0.01,81,1.735,1.745,1.745,0.0
3,0.025,6,9.069,9.094,9.094,0.0
2,0.025,42,2.362,2.387,2.387,0.0
5,0.03,74,5.852,5.882,5.882,0.0
4,0.03,95,5.026,5.056,5.056,0.0
7,0.06,66,1.918,1.978,1.978,0.0
6,0.06,23,2.475,2.535,2.535,0.0
8,0.095,75,10.004,10.099,10.099,0.0
9,0.115,15,3.294,3.409,3.409,0.0
10,0.15,14,2.462,2.612,2.612,0.0
11,0.16,60,11.656,11.816,11.816,0.0
13,0.185,25,0.893,1.078,1.078,0.0
12,0.185,72,4.067,4.252,4.252,0.0
14,0.2,39,5.501,5.701,5.701,0.0
15,0.205,82,0.605,0.81,0.81,0.0
16,0.21,49,2.044,2.254,2.254,0.0
17,0.26,78,3.278,3.538,3.538,0.0
18,0.27,10,5.305,5.575,5.575,0.0
19,0.28,95,6.327,6.607,6.607,0.0
20,0.29,52,6.514,6.804,6.804,0.0
21,0.3,81,1.383,1.683,1.683,0.0
22,0.34,34,3.342,3.682,3.682,0.0
23,0.345,29,1.099,1.444,1.444,0.0
24,0.375,27,4.305,4.68,4.68,0.0
25,0.375,57,2.208,2.583,2.583,0.0
27,0.4,80,5.002,5.402,5.402,0.0
26,0.4,83,2.263,2.663,2.663,0.0
28,0.445,73,2.196,2.641,2.641,0.0
29,0.48,5,2.474,2.954,2.954,0.0
30,0.495,43,6.301,6.796,6.796,0.0
31,0.54,79,3.788,4.328,4.328,0.0
32,0.58,26,1.316,1.896,1.896,0.0
34,0.63,98,0.678,1.308,1.308,0.0
33,0.63,32,1.691,2.321,2.321,0.0
35,0.635,77,8.213,8.848,8.848,0.0
36,0.695,8,1.936,2.631,2.631,0.0
37,0.71,61,1.589,2.299,2.299,0.0
38,0.8,12,3.049,3.849,3.849,0.0
39,0.83,35,2.476,3.306,3.306,0.0
40,0.93,52,1.262,2.192,2.192,0.0
41,0.995,74,5.519,6.514,6.514,0.0
42,1.2,32,3.798,4.998,4.998,0.0
43,1.235,47,3.529,4.764,4.764,0.0
44,1.34,67,3.579,4.919,4.919,0.0
45,1.385,19,8.866,10.251,10.251,0.0
46,1.47,81,5.173,6.643,6.643,0.0
47,1.47,38,0.67,2.14,2.14,0.0
48,1.575,87,2.272,3.847,3.847,0.0
49,1.825,9,5.402,7.227,7.227,0.0
50,5.0,68,4.242,9.242,9.242,0.0
51,5.0,75,1.796,6.796,6.796,0.0
52,5.005,73,5.784,10.789,10.789,0.0
53,5.01,40,0.395,5.405,5.405,0.0
54,5.015,9,3.46,8.475,8.475,0.0
56,5.035,68,7.729,12.764,12.764,0.0
55,5.035,10,1.503,6.538,6.538,0.0
57,5.05,72,6.446,11.496,11.496,0.0
58,5.06,4,8.344,13.404,13.404,0.0
59,5.065,18,3.008,8.073,8.073,0.0
60,5.07,36,0.86,5.93,5.93,0.0
61,5.085,84,4.151,9.236,9.236,0.0
62,5.11,99,6.434,11.544,11.544,0.0
63,5.13,95,5.751,10.881,10.881,0.0
64,5.135,58,4.395,9.53,9.53,0.0
65,5.16,93,3.538,8.698,8.698,0.0
68,5.17,83,3.629,8.799,8.799,0.0
67,5.17,20,3.402,8.572,8.572,0.0
66,5.17,69,2.264,7.434,7.434,0.0
69,5.185,28,3.293,8.478,8.478,0.0
70,5.205,23,3.404,8.609,8.609,0.0
71,5.215,79,1.881,7.096,7.096,0.0
72,5.235,41,2.783,8.018,8.018,0.0
73,5.25,41,1.876,7.126,7.126,0.0
74,5.27,83,5.763,11.033,11.033,0.0
75,5.28,37,6.278,11.558,11.558,0.0
76,5.295,46,5.497,10.792,10.792,0.0
77,5.3,14,1.132,6.432,6.432,0.0
78,5.365,69,0.999,6.364,6.364,0.0
79,5.39,94,8.466,13.856,13.856,0.0
80,5.4,44,6.677,12.077,12.077,0.0
81,5.42,60,5.032,10.452,10.452,0.0
82,5.45,96,3.562,9.012,9.012,0.0
83,5.57,81,3.077,8.647,8.647,0.0
84,5.58,88,5.086,10.666,10.666,0.0
85,5.585,28,1.552,7.137,7.137,0.0
86,5.645,31,4.142,9.787,9.787,0.0
87,5.65,49,3.731,9.381,9.381,0.0
88,5.665,84,2.423,8.088,8.088,0.0
89,5.675,37,5.577,11.252,11.252,0.0
90,5.68,72,3.083,8.763,8.763,0.0
91,5.7,35,2.825,8.525,8.525,0.0
92,5.71,42,4.566,10.276,10.276,0.0
93,5.83,54,0.766,6.596,6.596,0.0
94,5.945,53,1.739,7.684,7.684,0.0
95,6.01,64,3.91,9.92,9.92,0.0
96,6.02,9,1.762,7.782,7.782,0.0
97,6.11,11,0.634,6.744,6.744,0.0
98,6.275,11,14.883,21.158,21.158,0.0
99,6.36,2,7.239,13.599,13.599,0.0
100,6.43,7,3.207,9.637,9.637,0.0
101,6.75,32,4.054,10.804,10.804,0.0
102,7.405,88,2.066,9.471,9.471,0.0
103,10.005,87,7.394,17.399,17.399,0.0
104,10.01,95,1.412,11.422,11.422,0.0
105,10.01,6,7.439,17.449,17.449,0.0
106,10.035,42,1.919,11.954,11.954,0.0
107,10.04,30,4.072,14.112,14.112,0.0
108,10.04,37,1.99,12.03,12.03,0.0
109,10.05,43,6.298,16.348,16.348,0.0
111,10.055,96,3.162,13.217,13.217,0.0
110,10.055,94,0.779,10.834,10.834,0.0
112,10.065,83,9.063,19.128,19.128,0.0
113,10.07,65,11.261,21.331,21.331,0.0
114,10.075,76,4.413,14.488,14.488,0.0
115,10.075,45,1.779,11.854,11.854,0.0
116,10.09,66,7.245,17.335,17.335,0.0
117,10.095,48,1.791,11.886,11.886,0.0
118,10.1,65,0.601,10.701,10.701,0.0
119,10.105,64,1.065,11.17,11.17,0.0
120,10.115,6,6.503,16.618,16.618,0.0
121,10.135,18,5.013,15.148,15.148,0.0
122,10.135,14,5.307,15.442,15.442,0.0
123,10.145,16,4.795,14.94,14.94,0.0
