id,timestamp,shard,load,expected_end_time,actual_end_time,delay
0,0.035,33,0.742,0.777,0.777,0.0
1,0.12,61,1.417,1.537,1.537,0.0
2,0.195,63,2.49,2.685,2.685,0.0
3,0.33,65,0.636,0.966,0.966,0.0
4,0.375,58,9.046,9.421,9.421,0.0
5,0.44,33,4.721,5.161,5.161,0.0
6,0.58,84,1.453,2.033,2.033,0.0
7,0.65,86,0.898,1.548,1.548,0.0
8,0.825,42,4.735,5.56,5.56,0.0
9,0.975,42,2.466,3.441,3.441,0.0
10,1.56,32,0.543,2.103,2.103,0.0
11,1.98,37,6.495,8.475,8.475,0.0
12,2.39,55,2.35,4.74,4.74,0.0
13,3.17,50,2.694,5.864,5.864,0.0
14,8.245,89,2.232,10.477,10.477,0.0
15,8.805,70,6.374,15.179,15.179,0.0
16,10.01,72,3.163,13.173,13.173,0.0
17,10.015,41,3.879,13.894,13.894,0.0
18,10.06,45,5.737,15.797,15.797,0.0
19,10.07,67,1.325,11.395,11.395,0.0
20,10.09,63,5.238,15.328,15.328,0.0
21,10.18,94,6.026,16.206,16.206,0.0
22,10.24,67,5.524,15.764,15.764,0.0
23,10.265,26,1.56,11.825,11.825,0.0
24,10.295,5,6.191,16.486,16.486,0.0
25,10.33,1,4.289,14.619,14.619,0.0
26,10.38,18,3.784,14.164,14.164,0.0
27,10.45,78,5.495,15.945,15.945,0.0
28,10.46,88,2.562,13.022,13.022,0.0
29,10.48,26,4.218,14.698,14.698,0.0
30,10.5,89,6.722,17.222,17.222,0.0
31,10.525,30,7.557,18.082,18.082,0.0
32,10.55,30,3.401,13.951,13.951,0.0
33,10.555,100,2.328,12.883,12.883,0.0
34,10.57,60,4.276,14.846,14.846,0.0
35,10.675,100,3.364,14.039,14.039,0.0
36,10.745,24,2.554,13.299,13.299,0.0
37,10.76,75,3.943,14.703,14.703,0.0
38,10.905,67,5.086,15.991,15.991,0.0
39,10.91,48,3.882,14.792,14.792,0.0
40,11.045,15,1.011,12.056,12.056,0.0
41,11.39,97,1.505,12.895,12.895,0.0
42,11.575,65,2.281,13.856,13.856,0.0
43,11.765,52,2.793,14.558,14.558,0.0
44,12.015,74,1.83,13.845,13.845,0.0
45,12.545,49,1.608,14.153,14.153,0.0
46,15.02,47,3.328,18.348,18.348,0.0
47,15.075,30,1.473,16.548,16.548,0.0
48,15.14,30,0.997,16.137,16.137,0.0
49,15.295,87,5.783,21.078,21.078,0.0
50,15.41,60,11.199,26.609,26.609,0.0
51,15.505,13,2.935,18.44,18.44,0.0
53,15.77,39,6.868,22.638,22.638,0.0
52,15.77,94,6.506,22.276,22.276,0.0
54,15.84,94,0.997,16.837,16.837,0.0
55,16.32,2,3.787,20.107,20.107,0.0
56,16.81,54,1.395,18.205,18.205,0.0
57,16.925,78,2.354,19.279,19.279,0.0
58,17.16,3,5.914,23.074,23.074,0.0
59,18.03,38,1.859,19.889,19.889,0.0
60,21.335,39,1.755,23.09,23.09,0.0
61,24.82,97,2.763,27.583,27.583,0.0
62,25.045,53,9.335,34.38,34.38,0.0
63,25.075,44,4.198,29.273,29.273,0.0
64,25.165,5,5.807,30.972,30.972,0.0
65,25.19,12,6.385,31.575,31.575,0.0
66,25.2,40,7.928,33.128,33.128,0.0
67,25.36,92,4.964,30.324,30.324,0.0
68,25.42,31,1.75,27.17,27.17,0.0
69,25.475,28,1.875,27.35,27.35,0.0
70,25.535,91,4.141,29.676,29.676,0.0
71,25.605,41,4.628,30.233,30.233,0.0
72,25.675,50,1.341,27.016,27.016,0.0
73,25.8,45,10.323,36.123,36.123,0.0
74,25.88,45,7.034,32.914,32.914,0.0
75,26.165,84,2.185,28.35,28.35,0.0
76,26.77,24,1.856,28.626,28.626,0.0
77,26.795,79,3.135,29.93,29.93,0.0
78,26.81,21,5.172,31.982,31.982,0.0
79,26.875,35,9.213,36.088,36.088,0.0
80,27.71,69,0.589,28.299,28.299,0.0
81,30.025,72,0.647,30.672,30.672,0.0
82,30.545,88,1.837,32.382,32.382,0.0
83,30.77,27,2.271,33.041,33.041,0.0
84,30.835,3,3.048,33.883,33.883,0.0
85,32.495,44,4.944,37.439,37.439,0.0
86,34.145,11,4.241,38.386,38.386,0.0
87,35.005,64,4.573,39.578,39.578,0.0
88,35.05,43,0.958,36.008,36.008,0.0
89,35.06,29,7.278,42.338,42.338,0.0
90,35.07,29,8.54,43.61,43.61,0.0
91,35.075,81,12.196,47.271,47.271,0.0
92,35.08,30,5.785,40.865,40.865,0.0
