shard,node
1,9
2,1
3,8
4,2
5,5
6,10
7,2
8,3
9,10
10,5
11,7
12,6
13,8
14,3
15,4
16,7
17,8
18,3
19,2
20,1
21,4
22,9
23,6
24,5
25,8
26,9
27,4
28,6
29,6
30,5
31,4
32,8
33,9
34,6
35,2
36,4
37,1
38,10
39,10
40,3
41,7
42,7
43,8
44,4
45,5
46,3
47,8
48,5
49,1
50,10
51,6
52,9
53,4
54,2
55,6
56,2
57,9
58,5
59,7
60,10
61,1
62,10
63,2
64,6
65,7
66,2
67,5
68,3
69,4
70,8
71,3
72,9
73,1
74,7
75,6
76,3
77,7
78,5
79,2
80,8
81,4
82,10
83,7
84,1
85,6
86,5
87,1
88,8
89,1
90,3
91,9
92,9
93,2
94,1
95,4
96,3
97,10
98,10
99,7
100,9
