,timestamp,shard,load
0,5.14,4,4.539
1,5.805,3,1.047
2,7.02,2,2.903
3,9.5,2,3.85
4,10.24,5,3.653
5,10.795,1,3.886
6,14.93,4,3.474
7,15.03,2,9.125
8,15.055,5,4.397
9,15.265,4,2.781
10,15.35,5,5.189
11,15.525,2,6.44
12,16.93,1,14.57
13,18.135,3,2.802
14,18.31,5,0.934
15,21.235,5,9.897
16,24.845,1,2.646
17,30.0,1,4.548
18,33.06,5,3.608
19,33.955,2,5.531
20,35.075,3,6.646
21,37.205,5,4.622
22,39.485,1,5.482
23,40.075,5,6.575
24,40.65,4,3.24
25,41.53,4,2.844
26,42.17,1,2.899
27,44.185,5,4.233
28,50.0,2,4.609
29,51.76,4,12.725
30,54.68,5,1.418
31,55.195,3,6.075
32,55.57,5,1.853
33,55.755,1,7.206
34,55.86,1,3.602
35,55.95,1,3.17
36,55.995,2,5.903
37,57.88,5,2.384
38,58.625,5,1.62
39,60.77,5,1.46
40,61.63,5,2.485
41,64.665,1,9.921
42,68.495,2,6.5
43,68.58,4,6.441
44,75.0,2,5.149
45,75.095,3,9.436
46,75.125,3,2.544
47,75.66,4,5.131
48,79.955,2,5.959
49,85.015,2,3.383
50,85.37,1,5.191
51,86.715,1,2.091
52,89.68,1,1.197
53,90.475,1,3.662
54,94.975,5,3.868
55,96.27,5,3.723
56,99.835,2,3.408
57,100.385,5,3.745
58,101.095,5,3.119
59,104.865,4,2.781
60,108.4,1,0.651
61,108.665,3,2.982
62,110.675,3,2.387
63,111.27,4,1.431
64,114.79,5,1.285
65,115.185,5,1.555
66,117.57,4,9.216
67,119.285,4,1.865
68,120.08,1,8.489
69,120.895,4,2.004
70,121.28,3,1.319
71,121.335,1,2.852
72,121.475,4,6.88
73,122.28,1,5.07
74,123.66,5,4.905
75,125.64,3,0.889
76,129.96,4,1.787
77,132.41,3,3.409
78,134.38,1,1.225
79,135.17,4,2.449
80,135.65,2,4.089
81,135.915,3,4.161
82,138.08,3,8.059
83,138.77,5,2.015
84,145.0,1,2.604
85,145.905,5,7.35
86,149.915,4,5.699
87,150.685,5,1.435
88,151.51,5,6.13
89,154.715,5,2.749
90,155.105,2,1.961
91,155.35,3,5.931
92,155.425,1,6.905
93,156.2,3,4.065
94,157.07,1,13.254
95,157.98,4,6.293
96,158.175,2,9.982
97,161.96,1,1.723
98,164.6,4,3.585
99,170.0,2,1.52
100,170.11,1,2.61
101,170.205,4,2.746
102,174.995,4,4.933
103,180.0,5,0.218
104,180.39,2,4.092
105,183.24,1,0.66
106,183.79,3,2.75
107,185.015,5,1.038
108,186.475,2,1.308
109,189.775,1,8.11
110,192.21,2,5.353
111,194.485,2,1.129
112,195.195,3,13.579
113,195.635,3,6.099
114,195.94,5,5.065
115,196.075,1,1.872
116,196.38,3,1.935
117,197.38,2,2.553
118,198.865,4,6.239
119,201.115,2,5.099
120,204.875,2,8.968
121,205.82,3,4.125
122,206.88,3,2.653
123,209.56,4,2.321
124,211.405,5,1.402
125,214.8,2,6.563
126,215.03,1,6.455
127,215.055,3,7.469
128,215.185,5,5.355
129,215.25,3,3.562
130,215.375,4,10.992
131,215.665,4,2.892
132,216.125,5,0.261
133,216.33,4,2.904
134,216.38,3,8.439
135,216.725,1,2.159
136,217.4,4,10.542
137,218.26,4,3.295
138,221.38,1,2.396
139,224.805,5,4.599
140,230.0,3,7.169
141,230.58,1,7.103
142,230.58,4,5.055
143,233.395,4,2.636
144,233.58,2,3.732
145,235.13,1,5.622
146,235.905,4,5.628
147,237.445,4,12.698
148,239.265,1,2.987
149,240.105,5,3.586
150,240.2,3,10.99
151,240.455,4,7.26
152,240.62,2,5.527
153,241.68,2,6.904
154,241.915,5,5.163
155,244.225,5,2.517
156,250.0,2,2.135
157,250.3,1,1.366
158,250.32,5,11.061
159,250.655,4,5.169
160,253.11,5,3.12
161,253.835,5,3.071
162,256.14,4,3.585
