id,timestamp,shard,load,expected_end_time,actual_end_time,delay
0,0.18,2,7.136,7.316,7.316,0.0
1,0.36,5,1.867,2.227,2.227,0.0
2,0.63,1,0.869,1.499,1.499,0.0
3,4.945,1,4.388,9.333,9.333,0.0
4,5.36,1,1.889,7.249,7.249,0.0
5,5.81,1,0.287,6.097,6.097,0.0
6,6.097,3,5.892,11.877,11.989,0.112
7,9.82,2,1.564,11.384,11.384,0.0
8,11.225,4,0.576,11.801,11.801,0.0
9,11.325,1,3.618,14.943,14.943,0.0
10,14.665,3,0.846,15.511,15.511,0.0
11,15.45,5,6.09,21.54,21.54,0.0
12,15.55,4,8.28,23.83,23.83,0.0
13,15.995,2,0.608,16.603,16.603,0.0
14,16.805,1,2.766,19.571,19.571,0.0
15,17.05,3,4.636,21.686,21.686,0.0
17,19.571,3,3.329,21.699,22.9,1.201
16,21.54,3,5.387,22.552,26.927,4.375
18,21.686,3,5.114,26.469,26.8,0.331
19,24.815,5,2.28,27.095,27.095,0.0
20,25.035,3,9.134,34.169,34.169,0.0
25,26.885,1,2.129,29.014,29.014,0.0
21,26.927,5,2.87,27.975,29.797,1.822
23,27.095,4,4.495,30.1,31.59,1.49
26,29.495,2,3.109,32.604,32.604,0.0
24,29.797,1,6.959,32.854,36.756,3.902
27,31.59,1,2.816,32.921,34.406,1.485
22,32.604,4,8.223,33.453,40.827,7.374
31,35.7,4,4.515,40.215,40.215,0.0
29,36.756,2,1.11,34.185,37.866,3.681
32,36.77,5,9.515,46.285,46.285,0.0
33,38.07,5,1.346,39.416,39.416,0.0
35,40.1,3,0.387,40.487,40.487,0.0
30,40.827,3,1.435,35.29,42.262,6.972
28,42.262,4,5.404,36.204,47.666,11.462
36,43.205,5,0.918,44.123,44.123,0.0
37,43.835,4,4.256,48.091,48.091,0.0
38,45.09,2,6.622,51.712,51.712,0.0
39,46.945,3,1.135,48.08,48.08,0.0
34,47.666,3,2.97,41.43,50.636,9.206
40,48.08,3,7.527,54.572,55.607,1.035
42,48.091,4,12.966,60.371,61.057,0.686
41,50.636,4,2.513,49.803,53.149,3.346
43,53.149,1,15.033,62.478,68.182,5.704
